acct_id,dsply_nm,type,acct_stat,acct_rptng_crncy,prior_sar_count,branch_id,open_dt,close_dt,initial_deposit,tx_behavior_id,bank_id,first_name,last_name,street_addr,city,state,country,zip,gender,birth_date,ssn,lon,lat
0,C_0,I,A,USD,true,1,0,1000000,73269.40,,bank_a,Stephanie,Collins,48764 Howard Forge Apt. 421,Vanessaside,VT,US,79393,Female,1994-05-22,871-88-5410,73.479690,60.2738415
1,C_1,I,A,USD,false,1,0,1000000,95402.77,,bank_a,Ronald,Cook,9387 Grimes Green Apt. 801,Pagetown,RI,US,65195,Male,1994-06-10,721-09-3131,124.680009,-30.4868135
2,C_2,I,A,USD,true,1,0,1000000,77640.76,,bank_a,Robert,Fernandez,711 Golden Overpass,West Andreaville,OH,US,44115,Male,2021-07-13,618-71-9628,-25.565183,29.450832
3,C_3,I,A,USD,true,1,0,1000000,68285.86,,bank_a,Steven,Leblanc,9342 Lori Bypass Suite 711,East Sandra,MP,US,11019,Male,1972-06-08,401-91-8595,-32.020057,50.066962
4,C_4,I,A,USD,false,1,0,1000000,86192.99,,bank_a,Lorraine,Bruce,969 Hayes Shore,Christopherville,NM,US,77450,Female,1937-12-02,750-35-1920,-61.641150,9.8741475
5,C_5,I,A,USD,true,1,0,1000000,80325.49,,bank_a,Alison,Woodward,0123 Lisa Roads Apt. 013,South Christopherville,AZ,US,79865,Female,1931-03-09,127-62-3451,-147.205300,-83.884349
6,C_6,I,A,USD,false,1,0,1000000,85092.46,,bank_a,Christina,Howard,1314 Graham Circle,Williamsville,UT,US,51786,Female,1994-08-05,859-73-2776,-70.792574,-74.4170695
7,C_7,I,A,USD,true,1,0,1000000,58290.84,,bank_a,Thomas,Banks,58419 Wade Bridge,Maldonadoshire,VI,US,67164,Male,1954-10-23,674-33-2514,120.969950,-86.6616515
8,C_8,I,A,USD,false,1,0,1000000,83275.77,,bank_a,Scott,Anderson,0842 Kathleen Orchard,Chelseastad,OR,US,83567,Male,1945-09-20,767-54-1323,-179.181691,69.6055285
9,C_9,I,A,USD,true,1,0,1000000,55957.77,,bank_a,Terry,Munoz,33769 Johnson Well Suite 027,West Jacquelinemouth,NC,US,64367,Male,1909-09-25,040-64-5341,-12.465005,35.330430
